CustomerID,Amount,Quantity,frequency
12738.0,155.35,148,11
12748.0,4.25,1,1
12855.0,38.1,30,3
12915.0,199.64999999999998,41,13
12971.0,45.120000000000005,84,5
13011.0,50.550000000000004,13,3
13090.0,160.6,76,4
13108.0,350.05999999999995,298,10
13117.0,202.11999999999998,130,15
13138.0,193.23000000000002,125,14
13145.0,295.0,1,1
13305.0,136.2,132,5
13402.0,308.28,190,17
13418.0,623.24,234,23
13491.0,98.9,36,7
13715.0,272.6499999999999,107,15
13767.0,322.79999999999995,96,4
13798.0,408.0,160,1
13941.0,1095.1200000000001,644,11
14031.0,1714.2500000000005,531,25
14047.0,286.92,108,12
14060.0,339.84,504,8
14135.0,485.25,741,23
14180.0,201.75,31,12
14236.0,189.3,38,3
14388.0,312.79999999999995,170,21
14390.0,223.7,74,27
14395.0,308.68,174,27
14449.0,210.24,142,50
14466.0,379.74999999999994,137,10
14491.0,127.2,40,4
14573.0,401.9999999999998,126,70
14576.0,35.400000000000006,12,1
14741.0,184.5,114,9
14775.0,406.55999999999995,384,20
14829.0,236.97,190,19
14865.0,37.2,96,3
14901.0,204.15000000000006,105,18
14911.0,22.5,6,1
15061.0,9407.339999999998,5475,73
15070.0,106.2,36,1
15093.0,623.7300000000001,879,16
15107.0,116.0,26,5
15111.0,288.49999999999994,106,16
15260.0,420.5,254,17
15299.0,1835.0100000000002,2097,3
15363.0,326.0,144,16
15544.0,354.5399999999999,274,26
15574.0,349.03999999999996,159,105
15601.0,768.38,666,48
15640.0,333.7199999999999,180,7
15646.0,189.79999999999998,230,17
15658.0,306.20000000000005,64,14
15694.0,306.4,80,6
15732.0,138.1,97,5
15738.0,329.65000000000003,255,14
15752.0,259.65,153,14
15827.0,190.93,109,14
15923.0,127.08000000000003,122,21
15955.0,572.38,246,20
16029.0,569.4,260,4
16150.0,393.42,174,22
16186.0,307.68000000000006,231,20
16203.0,170.7,70,11
16244.0,1056.6299999999994,619,63
16510.0,248.10000000000002,92,13
16546.0,299.40000000000003,156,6
16634.0,164.8,64,8
16752.0,207.5,54,9
16754.0,2002.4,4280,2
16770.0,130.8,56,6
16781.0,311.24999999999994,113,17
16916.0,196.42999999999998,102,49
17017.0,877.32,648,23
17228.0,183.30000000000004,122,18
17235.0,341.9,126,10
17287.0,113.91999999999999,46,13
17381.0,1036.08,1424,6
17412.0,197.3,50,8
17460.0,50.400000000000006,24,1
17552.0,298.52,144,13
17567.0,517.9499999999999,244,27
17581.0,786.7799999999999,441,38
17659.0,247.8,64,12
17685.0,452.52,331,12
17732.0,303.97,93,18
17757.0,143.45,80,23
17802.0,100.19999999999999,75,12
17838.0,684.46,454,29
17850.0,3891.8699999999985,1259,213
17855.0,208.96999999999997,197,17
17925.0,244.08,72,1
17961.0,127.55000000000001,45,29
17964.0,261.76000000000005,195,35
17976.0,321.7899999999999,93,57
18041.0,413.43999999999994,316,73
18168.0,263.29999999999995,133,27
18239.0,438.0999999999999,208,29
